2024-07-27 16:37:47 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597598?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:47 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597594?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:47 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597599?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:48 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597600?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:48 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597601?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:48 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597602?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:48 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597605?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:48 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597604?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:49 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597603?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:49 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597609?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:49 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597607?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:49 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597608?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:49 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597610?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:50 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597611?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:50 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597606?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:50 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597612?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:50 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597615?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:50 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597614?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:51 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597616?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:51 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597617?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:51 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597619?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:51 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597613?lang=en&region=us HTTP/1.1" 200 None
2024-07-27 16:37:51 - urllib3.connectionpool - DEBUG - _make_request - http://sports.core.api.espn.com:80 "GET /v2/sports/rugby/leagues/270559/events/597618?lang=en&region=us HTTP/1.1" 200 None
